fold,roc_auc_test,accuracy_test,f1_weighted_test,f1_macro_test,precision_antag,recall_antag,f1_antag,precision_syn,recall_syn,f1_syn,roc_auc_train,accuracy_train,f1_weighted_train,f1_macro_train,n_train,n_test
1,0.8152724968314321,0.7026476578411406,0.702159062291369,0.7025477178423236,0.6507352941176471,0.7763157894736842,0.708,0.7671232876712328,0.6387832699619772,0.6970954356846473,0.9879363200531084,0.9279877425944841,0.9279695257548618,0.9279266626028093,1958,491
2,0.8029321587424969,0.7215909090909091,0.721415373111499,0.7203621572350383,0.7323943661971831,0.7455197132616488,0.738898756660746,0.7090163934426229,0.6947791164658634,0.7018255578093306,0.9866511853808093,0.9234773555439875,0.9234797195268741,0.9234766090230759,1921,528
3,0.7696619274318065,0.702,0.7018605309791153,0.7019892716137781,0.759825327510917,0.6492537313432836,0.7002012072434608,0.6531365313653137,0.7629310344827587,0.7037773359840954,0.9870919834423485,0.9240636223704464,0.924067301156284,0.9240530458611632,1949,500
4,0.8132527948070681,0.721868365180467,0.7218533191774565,0.7218483038431196,0.7196652719665272,0.7288135593220338,0.7242105263157895,0.7241379310344828,0.7148936170212766,0.7194860813704497,0.9879845662635451,0.9271991911021233,0.9271985956584122,0.9271980002147009,1978,471
5,0.743741426611797,0.664488017429194,0.6630937730740832,0.6639121338912134,0.6183206106870229,0.75,0.6778242677824268,0.7258883248730964,0.588477366255144,0.65,0.9880133647345997,0.9276381909547738,0.9276264170302141,0.9275995052026487,1990,459
